x	Original	Deteriorated	Reconstructed
-10	-1.75202	-1.75202	-1.75202
-9.8	-1.61239	-1.61239	-1.61239
-9.6	-1.328	-1.328	-1.328
-9.4	-0.950157	-0.950157	-0.950157
-9.2	-0.540278	-0.540278	-0.540278
-9	-0.160143	-0.160143	-0.160143
-8.8	0.137751	0.137751	0.137751
-8.6	0.31818	0.31818	0.31818
-8.4	0.368278	0.368278	0.368278
-8.2	0.298952	0.298952	0.298952
-8	0.142403	0.142403	0.142403
-7.8	-0.0537982	-0.0537982	-0.0537982
-7.6	-0.235139	-0.235139	-0.235139
-7.4	-0.349705	-0.349705	-0.349705
-7.2	-0.357306	-0.357306	-0.357306
-7	-0.236705	0	-0.23279
-6.8	0.0102357	0.0102357	0.0102357
-6.6	0.358159	0.358159	0.358159
-6.4	0.761675	0.761675	0.761675
-6.2	1.16215	1.16215	1.16215
-6	1.49674	1.49674	1.49674
-5.8	1.70835	1.70835	1.70835
-5.6	1.75474	1.75474	1.75474
-5.4	1.61563	1.61563	1.61563
-5.2	1.29634	1.29634	1.29634
-5	0.827683	0.827683	0.827683
-4.8	0.261826	0.261826	0.261826
-4.6	-0.335042	-0.335042	-0.335042
-4.4	-0.89225	-0.89225	-0.89225
-4.2	-1.34486	-1.34486	-1.34486
-4	-1.643	-1.643	-1.643
-3.8	-1.75889	-1.75889	-1.75889
-3.6	-1.69043	-1.69043	-1.69043
-3.4	-1.46091	-1.46091	-1.46091
-3.2	-1.11484	-1.11484	-1.11484
-3	-0.710577	-0.710577	-0.710577
-2.8	-0.310956	-0.310956	-0.310956
-2.6	0.0265659	0.0265659	0.0265659
-2.4	0.258771	0.258771	0.258771
-2.2	0.363101	0.363101	0.363101
-2	0.340656	0.340656	0.340656
-1.8	0.215318	0.215318	0.215318
-1.6	0.0291746	0.0291746	0.0291746
-1.4	-0.165021	-0.165021	-0.165021
-1.2	-0.313105	-0.313105	-0.313105
-1	-0.368995	-0.368995	-0.368995
-0.8	-0.302867	-0.302867	-0.302867
-0.6	-0.106703	-0.106703	-0.106703
-0.4	0.203705	0.203705	0.203705
-0.2	0.590648	0.590648	0.590648
0	1	1	1
0.2	1.36948	1.36948	1.36948
0.4	1.63842	1.63842	1.63842
0.6	1.75737	1.75737	1.75737
0.8	1.69628	1.69628	1.69628
1	1.4496	0	1.44568
1.2	1.03782	1.03782	1.03782
1.4	0.504955	0.504955	0.504955
1.6	-0.0875737	-0.0875737	-0.0875737
1.8	-0.669723	0	-0.667824
2	-1.17295	-1.17295	-1.17295
2.2	-1.5401	-1.5401	-1.5401
2.4	-1.73356	-1.73356	-1.73356
2.6	-1.74034	-1.74034	-1.74034
2.8	-1.57349	-1.57349	-1.57349
3	-1.26941	-1.26941	-1.26941
3.2	-0.881746	-0.881746	-0.881746
3.4	-0.472685	-0.472685	-0.472685
3.6	-0.103091	-0.103091	-0.103091
3.8	0.176952	0.176952	0.176952
4	0.335715	0.335715	0.335715
4.2	0.364338	0.364338	0.364338
4.4	0.277584	0.277584	0.277584
4.6	0.110737	0.110737	0.110737
4.8	-0.0868278	-0.0868278	-0.0868278
5	-0.260359	-0.260359	-0.260359
5.2	-0.35931	-0.35931	-0.35931
5.4	-0.346243	-0.346243	-0.346243
5.6	-0.203612	-0.203612	-0.203612
5.8	0.0626909	0.0626909	0.0626909
6	0.423597	0.423597	0.423597
6.2	0.830938	0.830938	0.830938
6.4	1.22469	1.22469	1.22469
6.6	1.54231	1.54231	1.54231
6.8	1.72856	1.72856	1.72856
7	1.74451	1.74451	1.74451
7.2	1.57401	0	1.56984
7.4	1.2268	1.2268	1.2268
7.6	0.737659	0.737659	0.737659
7.8	0.161709	0.161709	0.161709
8	-0.433403	0	-0.432169
8.2	-0.977262	-0.977262	-0.977262
8.4	-1.40686	-1.40686	-1.40686
8.6	-1.67562	-1.67562	-1.67562
8.8	-1.75994	-1.75994	-1.75994
9	-1.66212	-1.66212	-1.66212
9.2	-1.40941	-1.40941	-1.40941
9.4	-1.04923	-1.04923	-1.04923
9.6	-0.641373	-0.641373	-0.641373
9.8	-0.248463	-0.248463	-0.248463
