#x	cos(x)
0	1.0000
1	0.5403
2	-0.4161
3	-0.9900
4	-0.6536
5	0.2837
6	0.9602
7	0.7539
8	-0.1455
9	-0.9111
10	-0.8391


#x	f_prime(x)	F_prime(x)
0.0000	1.0000	0.0000
0.1250	0.9425	0.1214
0.2500	0.8851	0.2356
0.3750	0.8276	0.3427
0.5000	0.7702	0.4425
0.6250	0.7127	0.5352
0.7500	0.6552	0.6207
0.8750	0.5978	0.6990
1.0000	0.5403	0.7702
1.1250	0.4207	0.8302
1.2500	0.3012	0.8753
1.3750	0.1816	0.9055
1.5000	0.0621	0.9207
1.6250	-0.0575	0.9210
1.7500	-0.1770	0.9064
1.8750	-0.2966	0.8768
2.0000	-0.4161	0.8322
2.1250	-0.4879	0.7757
2.2500	-0.5596	0.7103
2.3750	-0.6313	0.6358
2.5000	-0.7031	0.5524
2.6250	-0.7748	0.4601
2.7500	-0.8465	0.3587
2.8750	-0.9183	0.2484
3.0000	-0.9900	0.1292
3.1250	-0.9479	0.0080
3.2500	-0.9059	-0.1078
3.3750	-0.8639	-0.2184
3.5000	-0.8218	-0.3238
3.6250	-0.7798	-0.4239
3.7500	-0.7377	-0.5187
3.8750	-0.6957	-0.6083
4.0000	-0.6536	-0.6927
4.1250	-0.5365	-0.7670
4.2500	-0.4193	-0.8268
4.3750	-0.3022	-0.8719
4.5000	-0.1850	-0.9023
4.6250	-0.0678	-0.9181
4.7500	0.0493	-0.9193
4.8750	0.1665	-0.9058
5.0000	0.2837	-0.8776
5.1250	0.3682	-0.8369
5.2500	0.4528	-0.7856
5.3750	0.5374	-0.7237
5.5000	0.6219	-0.6513
5.6250	0.7065	-0.5682
5.7500	0.7910	-0.4746
5.8750	0.8756	-0.3705
6.0000	0.9602	-0.2557
6.1250	0.9344	-0.1373
6.2500	0.9086	-0.0221
6.3750	0.8828	0.0898
6.5000	0.8570	0.1986
6.6250	0.8313	0.3041
6.7500	0.8055	0.4064
6.8750	0.7797	0.5055
7.0000	0.7539	0.6013
7.1250	0.6415	0.6885
7.2500	0.5291	0.7617
7.3750	0.4166	0.8208
7.5000	0.3042	0.8658
7.6250	0.1918	0.8968
7.7500	0.0794	0.9138
7.8750	-0.0331	0.9167
8.0000	-0.1455	0.9055
8.1250	-0.2412	0.8813
8.2500	-0.3369	0.8452
8.3750	-0.4326	0.7971
8.5000	-0.5283	0.7371
8.6250	-0.6240	0.6650
8.7500	-0.7197	0.5810
8.8750	-0.8154	0.4851
9.0000	-0.9111	0.3772
9.1250	-0.9021	0.2639
9.2500	-0.8931	0.1517
9.3750	-0.8841	0.0406
9.5000	-0.8751	-0.0694
9.6250	-0.8661	-0.1782
9.7500	-0.8571	-0.2859
9.8750	-0.8481	-0.3925
