#x	sin(x)
0	0.0000
1	0.8415
2	0.9093
3	0.1411
4	-0.7568
5	-0.9589
6	-0.2794
7	0.6570
8	0.9894
9	0.4121
10	-0.5440


#x	sin(x)	f_prime(x)	
0.0000	0	0.0000
0.1250	0.124674733385228	0.1168
0.2500	0.247403959254523	0.2302
0.3750	0.366272529086048	0.3404
0.5000	0.479425538604203	0.4472
0.6250	0.585097272940462	0.5507
0.7500	0.681638760023334	0.6510
0.8750	0.767543502236027	0.7479
1.0000	0.841470984807897	0.8415
1.1250	0.902267594099095	0.9230
1.2500	0.948984619355586	0.9836
1.3750	0.980893057023156	1.0234
1.5000	0.997494986604054	1.0423
1.6250	0.998531340539832	1.0404
1.7500	0.983985946873937	1.0175
1.8750	0.954085781609694	0.9739
2.0000	0.909297426825682	0.9093
2.1250	0.850319789818452	0.8317
2.2500	0.778073196887921	0.7488
2.3750	0.693685031953272	0.6607
2.5000	0.598472144103957	0.5673
2.6250	0.493920298610089	0.4686
2.7500	0.381660992052332	0.3647
2.8750	0.263445993363421	0.2555
3.0000	0.141120008059867	0.1411
3.1250	0.0165918922293479	0.0247
3.2500	-0.108195134530108	-0.0906
3.3750	-0.231293812402022	-0.2046
3.5000	-0.35078322768962	-0.3175
3.6250	-0.464798788031609	-0.4291
3.7500	-0.571561318742344	-0.5395
3.8750	-0.669404826237736	-0.6488
4.0000	-0.756802495307928	-0.7568
4.1250	-0.832390514557987	-0.8540
4.2500	-0.894989358228583	-0.9306
4.3750	-0.943622192300962	-0.9867
4.5000	-0.977530117665097	-1.0222
4.6250	-0.996184012486479	-1.0372
4.7500	-0.999292788975378	-1.0316
4.8750	-0.986807935714441	-1.0056
5.0000	-0.958924274663138	-0.9589
5.1250	-0.916076921026244	-0.8985
5.2500	-0.858934493426592	-0.8311
5.3750	-0.788388680335096	-0.7567
5.5000	-0.705540325570392	-0.6753
5.6250	-0.611682249999232	-0.5868
5.7500	-0.508279077499258	-0.4914
5.8750	-0.396944379993247	-0.3889
6.0000	-0.279415498198926	-0.2794
6.1250	-0.157526431008143	-0.1659
6.2500	-0.0331792165475568	-0.0514
6.3750	0.0916857484901778	0.0641
6.5000	0.215119988087816	0.1806
6.6250	0.335197352220085	0.2982
6.7500	0.450044073780618	0.4168
6.8750	0.55786800809094	0.5364
7.0000	0.656986598718789	0.6570
7.1250	0.745853133208487	0.7682
7.2500	0.823080879011506	0.8594
7.3750	0.887464722984075	0.9308
7.5000	0.937999976774739	0.9823
7.6250	0.973898054650046	1.0139
7.7500	0.994598779111176	1.0256
7.8750	0.999779122276449	1.0174
8.0000	0.989358246623382	0.9894
8.1250	0.963498766431188	0.9471
8.2500	0.92260421023934	0.8962
8.3750	0.867312723919674	0.8369
8.5000	0.79848711262349	0.7690
8.6250	0.717201376995746	0.6926
8.7500	0.624723953754192	0.6076
8.8750	0.52249792215864	0.5141
9.0000	0.412118485241757	0.4121
9.1250	0.295308077199271	0.3042
9.2500	0.173889485380434	0.1929
9.3750	0.0497574063010786	0.0784
9.5000	-0.0751511204618093	-0.0395
9.6250	-0.198886939124834	-0.1607
9.7500	-0.319519193622274	-0.2851
9.8750	-0.435165457969199	-0.4129
