#r_min	E
0.01	-0.500045719279605
0.0199	-0.500054448066856
0.0298	-0.500085807411441
0.0397	-0.500153635181063
0.0496	-0.500264238455176
0.0595	-0.500429820640713
0.0694	-0.500658629099681
0.0793	-0.50096042555689
0.0892	-0.501347704233001
0.0991	-0.501826873524593
0.109	-0.502409855898187
0.1189	-0.503106055825826
0.1288	-0.503926381407497
0.1387	-0.504882436386701
0.1486	-0.505984265921139
0.1585	-0.50724492714862
0.1684	-0.508675169753314
0.1783	-0.510290094259294
0.1882	-0.512101554188395
0.1981	-0.514125932573805
0.208	-0.516378185026995
0.2179	-0.518875898915522
0.2278	-0.521636440337648
0.2377	-0.524679466957535
0.2476	-0.528029251381561
0.2575	-0.531706192757905
0.2674	-0.535737549052956
0.2773	-0.540148971295098
0.2872	-0.544971868307805
0.2971	-0.55023817073976
0.307	-0.555986263829175
0.3169	-0.562253543530325
0.3268	-0.569084181833477
0.3367	-0.576526633809702
0.3466	-0.58463236274117
0.3565	-0.593459034667682
0.3664	-0.603081361614262
0.3763	-0.613544932091346
0.3862	-0.624942487522613
0.3961	-0.637356423044561
0.406	-0.650882836432003
0.4159	-0.665624011717942
0.4258	-0.681696951670615
0.4357	-0.699226666591896
0.4456	-0.718354056347184
0.4555	-0.739235221154279
0.4654	-0.762045215935588
0.4753	-0.786966352712515
0.4852	-0.814213958500332
0.4951	-0.84402354917108
0.505	-0.876654956583993
0.5149	-0.912396390864092
0.5248	-0.951571643246683
0.5347	-0.994535831869792
0.5446	-1.04168976885812
0.5545	-1.09348163863381
0.5644	-1.15041176651297
0.5743	-1.21304116854385
0.5842	-1.28200198920588
0.5941	-1.35800788124009
0.604	-1.44186438311908
0.6139	-1.53448654181887
0.6238	-1.63691301617436
0.6337	-1.75033534521642
0.6436	-1.87611303532896
0.6535	-2.0158121450912
0.6634	-2.17124144792333
0.6733	-0.162613250388946
0.6832	-0.163712801641038
0.6931	-0.164668734862094
0.703	-0.165675808049197
0.7129	-0.166649485203362
0.7228	-0.167591492630374
0.7327	-0.168507960236151
0.7426	-0.169386950735214
0.7525	-0.170240126167272
0.7624	-0.17074178755415
0.7723	-0.171439705766666
0.7822	-0.17209658358816
0.7921	-0.172713612996194
0.802	-0.173291137450959
0.8119	-0.173830437885854
0.8218	-0.174332335667428
0.8317	-0.174797929100974
0.8416	-0.175228432773594
0.8515	-0.17562442107062
0.8614	-0.175986877103457
0.8713	-0.176316859694268
0.8812	-0.176617120936921
0.8911	-0.176887343501425
0.901	-0.177129215635053
0.9109	-0.177343189234875
0.9208	-0.177530384769518
0.9307	-0.177692016936629
0.9406	-0.177829364311263
0.9505	-0.177942615689499
0.9604	-0.178033137861731
0.9703	-0.178101658466407
0.9802	-0.178149645114114
0.9901	-0.178177207204259
