# parabolic
dx_magnitude	avg_fwd_hess_err	avg_cen_hess_err	avg_cen_u_hess_err
-10	4.9495726518151E-06	1.17748109982308E-16	1.17748109982308E-16
-11	1.20163005645569E-06	1.03451481444994E-15	1.03451481444994E-15
-12	2.98632128375932E-07	1.69316885755478E-14	1.69316885755478E-14
-13	7.51448985960921E-08	1.84839423186026E-13	1.84839423186026E-13
-14	1.75720754399673E-08	3.51575629948525E-12	3.51575629948525E-12
-15	5.59534538749556E-09	4.34869492711396E-11	4.34869492711396E-11
-16	3.55585643262214E-08	1.91710431501191E-09	1.91710431501191E-09
-17	3.21653923811305E-07	1.40107765675068E-08	1.40107765675068E-08
-18	6.82458303134184E-06	3.44706282166847E-07	3.44706282166847E-07
-19	0.000124077887074319	7.76903348554904E-06	7.76903348554904E-06
-20	0.000683190959451499	5.38891167053539E-05	5.38891167053539E-05
-21	0.0199592174185553	0.00112595192327467	0.00112595192327467
-22	0.500215829793564	0.0171975211504747	0.0171975211504747
-23	6.18052237228199	0.405390775665705	0.405390775665705
-24	68.5386081367885	8.16472956649996	8.16472956649996
-25	755.831369949316	68.4710802667558	68.4710802667558
-26	20366.3901297922	1035.59777206074	1035.59777206074
-27	378898.444360328	18788.8508528979	18788.8508528979
-28	6761600.0374195	387115.830929142	387115.830929142
-29	59395029.2276553	4568782.34454844	4568782.34454844


# himmelblau
dx_magnitude	avg_fwd_hess_err	avg_cen_hess_err	avg_cen_u_hess_err
-10	3.67168201198933	2.53197260903117E-07	2.53197260903117E-07
-11	0.855983547229736	1.48032008182452E-08	1.48032008182452E-08
-12	0.179051512398786	7.74829422611313E-10	7.74829422611313E-10
-13	0.0516569285220103	7.97000057931175E-11	7.97000057931175E-11
-14	0.0147189188821147	2.46527583132077E-10	2.46527583132077E-10
-15	0.00329613304012722	1.07754133521125E-08	1.07754133521125E-08
-16	0.000911436864974159	2.03405776585889E-07	2.03405776585889E-07
-17	0.000208165974510541	8.19926843835889E-07	8.19926843835889E-07
-18	0.00040256981159633	1.36433530393505E-05	1.36433530393505E-05
-19	0.00251702337397799	8.13247332656554E-05	8.13247332656554E-05
-20	0.0938700417838388	0.00479537568945647	0.00479537568945647
-21	2.03978606326835	0.0596146091028573	0.0596146091028573
-22	6.74853410359703	0.851613784189818	0.851613784189818
-23	337.280739235574	11.4797778649754	11.4797778649754
-24	661.144261830606	96.3224383969565	96.3224383969565
-25	74182.820714708	11571.0501961445	11571.0501961445
-26	1263515.41583351	161422.454907227	161422.454907227
-27	31067006.5661891	1268882.92297289	1268882.92297289
-28	191689455.867654	6655061.07362065	6655061.07362065
-29	7543797238.00692	386980578.83188	386980578.83188


# rosenbrock
dx_magnitude	avg_fwd_hess_err	avg_cen_hess_err	avg_cen_u_hess_err
-10	16575.7603971946	0.00112133290535699	0.00112133290535703
-11	4094.96499951061	6.9491881951619E-05	6.9491881951619E-05
-12	1080.82807121947	4.59007252588435E-06	4.59007252588435E-06
-13	239.779264479206	3.27410902820228E-07	3.27410902820228E-07
-14	61.3787612899094	1.38934506497087E-06	1.38934506497087E-06
-15	14.718343645894	5.2675549371648E-06	5.2675549371648E-06
-16	4.25349291584354	0.00153502729883563	0.00153502729883563
-17	1.02456019648812	0.00782669548220614	0.00782669548220614
-18	2.67724778339315	0.0340586771074101	0.0340586771074101
-19	105.239272070383	7.12295219194392	7.12295219194392
-20	1314.87916415649	38.6492836781608	38.6492836781608
-21	19363.3083819071	1791.45764091343	1791.45764091343
-22	47835.8160850249	6263.35548630828	6263.35548630828
-23	1303502.676575	73845.4747917484	73845.4747917484
-24	14297956.3995963	3113693.50824612	3113693.50824612
-25	334644986.584228	2762728.89109104	2762728.89109104
-26	31546683931.7852	220301087.650851	220301087.650851
-27	85678964559.8456	7418903422.97864	7418903422.97864
-28	367006162719.2	188060287750.368	188060287750.368
-29	74688656412973.7	392197597687.8	392197597687.8


# gradient parabolic
