x	g(x)	F_p(x)	Anti-derivative(nn)	First-derivative(nn)	Second-derivative(nn)
-1.000	0.353	0.339	-0.021	0.006	-7.920
-0.990	0.355	0.339	-0.018	-0.075	-8.283
-0.980	0.355	0.338	-0.014	-0.159	-8.638
-0.970	0.354	0.336	-0.011	-0.247	-8.983
-0.960	0.352	0.333	-0.007	-0.339	-9.315
-0.950	0.349	0.329	-0.004	-0.434	-9.634
-0.940	0.345	0.324	-0.001	-0.532	-9.935
-0.930	0.339	0.318	0.002	-0.632	-10.218
-0.920	0.333	0.311	0.005	-0.736	-10.479
-0.910	0.325	0.303	0.009	-0.842	-10.717
-0.900	0.315	0.294	0.012	-0.950	-10.929
-0.890	0.305	0.284	0.014	-1.060	-11.113
-0.880	0.293	0.273	0.017	-1.172	-11.267
-0.870	0.279	0.261	0.020	-1.286	-11.387
-0.860	0.265	0.248	0.022	-1.400	-11.473
-0.850	0.249	0.233	0.025	-1.515	-11.521
-0.840	0.231	0.217	0.027	-1.630	-11.529
-0.830	0.213	0.200	0.029	-1.745	-11.496
-0.820	0.193	0.182	0.031	-1.860	-11.418
-0.810	0.172	0.163	0.033	-1.974	-11.296
-0.800	0.150	0.143	0.034	-2.086	-11.125
-0.790	0.126	0.121	0.036	-2.196	-10.906
-0.780	0.102	0.099	0.037	-2.304	-10.636
-0.770	0.076	0.075	0.038	-2.408	-10.314
-0.760	0.049	0.051	0.038	-2.510	-9.939
-0.750	0.021	0.025	0.039	-2.607	-9.511
-0.740	-0.007	-0.001	0.039	-2.700	-9.028
-0.730	-0.037	-0.029	0.039	-2.787	-8.491
-0.720	-0.067	-0.057	0.038	-2.869	-7.899
-0.710	-0.098	-0.086	0.038	-2.945	-7.252
-0.700	-0.129	-0.116	0.036	-3.014	-6.551
-0.690	-0.161	-0.146	0.035	-3.076	-5.798
-0.680	-0.194	-0.177	0.034	-3.130	-4.992
-0.670	-0.226	-0.209	0.032	-3.176	-4.136
-0.660	-0.259	-0.241	0.029	-3.213	-3.231
-0.650	-0.292	-0.273	0.027	-3.240	-2.279
-0.640	-0.325	-0.306	0.024	-3.258	-1.283
-0.630	-0.359	-0.338	0.021	-3.266	-0.246
-0.620	-0.391	-0.371	0.017	-3.263	0.829
-0.610	-0.424	-0.404	0.013	-3.249	1.939
-0.600	-0.456	-0.436	0.009	-3.224	3.080
-0.590	-0.488	-0.468	0.005	-3.187	4.248
-0.580	-0.519	-0.500	0.000	-3.139	5.437
-0.570	-0.549	-0.531	-0.005	-3.079	6.645
-0.560	-0.578	-0.561	-0.011	-3.006	7.865
-0.550	-0.606	-0.591	-0.017	-2.921	9.092
-0.540	-0.634	-0.620	-0.023	-2.824	10.321
-0.530	-0.660	-0.647	-0.029	-2.715	11.546
-0.520	-0.684	-0.674	-0.036	-2.593	12.762
-0.510	-0.708	-0.699	-0.043	-2.460	13.962
-0.500	-0.729	-0.723	-0.050	-2.314	15.140
-0.490	-0.749	-0.745	-0.057	-2.157	16.291
-0.480	-0.768	-0.766	-0.065	-1.988	17.407
-0.470	-0.784	-0.785	-0.072	-1.809	18.484
-0.460	-0.799	-0.802	-0.080	-1.619	19.513
-0.450	-0.812	-0.817	-0.088	-1.419	20.491
-0.440	-0.823	-0.830	-0.097	-1.209	21.409
-0.430	-0.831	-0.842	-0.105	-0.991	22.264
-0.420	-0.838	-0.850	-0.113	-0.764	23.048
-0.410	-0.842	-0.857	-0.122	-0.530	23.757
-0.400	-0.844	-0.861	-0.130	-0.289	24.386
-0.390	-0.843	-0.863	-0.139	-0.043	24.929
-0.380	-0.840	-0.862	-0.148	0.209	25.383
-0.370	-0.835	-0.858	-0.156	0.465	25.742
-0.360	-0.828	-0.852	-0.165	0.724	26.004
-0.350	-0.818	-0.844	-0.173	0.984	26.166
-0.340	-0.805	-0.833	-0.182	1.246	26.224
-0.330	-0.791	-0.819	-0.190	1.509	26.176
-0.320	-0.773	-0.803	-0.198	1.770	26.021
-0.310	-0.754	-0.784	-0.206	2.029	25.758
-0.300	-0.732	-0.762	-0.214	2.284	25.386
-0.290	-0.708	-0.738	-0.221	2.536	24.905
-0.280	-0.682	-0.711	-0.229	2.782	24.315
-0.270	-0.653	-0.682	-0.236	3.022	23.619
