x	g(x)	Neurons:1	Neurons:3	Neurons:5	Neurons:7
-2.000	0.000	0.000	0.003	0.238	-0.175
-1.984	-0.001	0.000	0.003	0.238	-0.179
-1.968	-0.003	0.000	0.004	0.238	-0.182
-1.952	-0.005	0.000	0.004	0.237	-0.186
-1.936	-0.007	0.000	0.005	0.237	-0.190
-1.920	-0.010	0.000	0.006	0.236	-0.194
-1.904	-0.012	0.000	0.006	0.235	-0.198
-1.888	-0.015	0.001	0.007	0.234	-0.201
-1.872	-0.018	0.001	0.008	0.233	-0.205
-1.856	-0.021	0.001	0.009	0.232	-0.208
-1.840	-0.024	0.001	0.010	0.231	-0.211
-1.824	-0.028	0.001	0.011	0.229	-0.214
-1.808	-0.031	0.002	0.013	0.227	-0.217
-1.792	-0.035	0.002	0.014	0.226	-0.219
-1.776	-0.038	0.003	0.016	0.224	-0.221
-1.760	-0.042	0.003	0.018	0.222	-0.223
-1.744	-0.046	0.004	0.020	0.220	-0.225
-1.728	-0.049	0.005	0.022	0.218	-0.226
-1.712	-0.053	0.006	0.024	0.216	-0.227
-1.696	-0.056	0.007	0.027	0.214	-0.227
-1.680	-0.059	0.009	0.030	0.212	-0.227
-1.664	-0.062	0.010	0.033	0.209	-0.226
-1.648	-0.065	0.013	0.036	0.207	-0.224
-1.632	-0.067	0.015	0.040	0.205	-0.222
-1.616	-0.069	0.018	0.044	0.203	-0.220
-1.600	-0.070	0.021	0.048	0.202	-0.216
-1.584	-0.071	0.025	0.053	0.200	-0.212
-1.568	-0.071	0.030	0.058	0.199	-0.207
-1.552	-0.071	0.035	0.063	0.198	-0.201
-1.536	-0.069	0.041	0.069	0.197	-0.195
-1.520	-0.067	0.048	0.075	0.196	-0.187
-1.504	-0.064	0.056	0.082	0.196	-0.178
-1.488	-0.060	0.065	0.088	0.196	-0.169
-1.472	-0.056	0.075	0.096	0.196	-0.158
-1.456	-0.050	0.086	0.104	0.198	-0.147
-1.440	-0.043	0.099	0.112	0.199	-0.134
-1.424	-0.035	0.112	0.121	0.201	-0.121
-1.408	-0.025	0.128	0.130	0.204	-0.106
-1.392	-0.015	0.144	0.139	0.207	-0.091
-1.376	-0.004	0.162	0.149	0.211	-0.074
-1.360	0.008	0.182	0.160	0.215	-0.057
-1.344	0.022	0.203	0.171	0.220	-0.039
-1.328	0.036	0.225	0.182	0.226	-0.020
-1.312	0.052	0.249	0.193	0.232	0.000
-1.296	0.068	0.274	0.205	0.239	0.021
-1.280	0.085	0.300	0.217	0.246	0.042
-1.264	0.103	0.327	0.229	0.254	0.064
-1.248	0.121	0.355	0.241	0.262	0.086
-1.232	0.140	0.384	0.254	0.271	0.108
-1.216	0.159	0.413	0.266	0.280	0.130
-1.200	0.179	0.442	0.278	0.289	0.152
-1.184	0.198	0.471	0.290	0.298	0.174
-1.168	0.217	0.499	0.301	0.307	0.196
-1.152	0.236	0.526	0.312	0.317	0.217
-1.136	0.254	0.552	0.322	0.326	0.237
-1.120	0.271	0.576	0.332	0.334	0.257
-1.104	0.287	0.597	0.341	0.342	0.275
-1.088	0.302	0.616	0.348	0.349	0.291
-1.072	0.316	0.632	0.355	0.355	0.306
-1.056	0.328	0.644	0.360	0.360	0.320
-1.040	0.338	0.652	0.364	0.364	0.331
-1.024	0.346	0.656	0.366	0.366	0.340
-1.008	0.351	0.655	0.366	0.366	0.347
-0.992	0.354	0.650	0.364	0.365	0.351
-0.976	0.355	0.639	0.360	0.361	0.352
-0.960	0.352	0.623	0.354	0.355	0.350
-0.944	0.347	0.601	0.346	0.347	0.345
-0.928	0.338	0.574	0.334	0.336	0.337
-0.912	0.326	0.542	0.321	0.323	0.326
-0.896	0.311	0.504	0.304	0.306	0.311
-0.880	0.293	0.462	0.285	0.287	0.293
-0.864	0.271	0.415	0.262	0.265	0.271
-0.848	0.245	0.364	0.237	0.239	0.246
-0.832	0.217	0.308	0.209	0.211	0.217
-0.816	0.185	0.250	0.178	0.179	0.186
-0.800	0.150	0.189	0.144	0.145	0.150
-0.784	0.111	0.126	0.107	0.108	0.112
-0.768	0.071	0.062	0.067	0.068	0.071
-0.752	0.027	-0.003	0.025	0.025	0.028
-0.736	-0.019	-0.068	-0.019	-0.020	-0.018
-0.720	-0.067	-0.133	-0.066	-0.067	-0.066
-0.704	-0.116	-0.196	-0.114	-0.115	-0.116
-0.688	-0.168	-0.256	-0.164	-0.166	-0.168
-0.672	-0.220	-0.314	-0.215	-0.217	-0.220
-0.656	-0.272	-0.369	-0.267	-0.269	-0.273
-0.640	-0.325	-0.420	-0.319	-0.322	-0.326
-0.624	-0.378	-0.467	-0.372	-0.374	-0.379
-0.608	-0.430	-0.508	-0.424	-0.426	-0.431
-0.592	-0.481	-0.545	-0.475	-0.477	-0.483
-0.576	-0.531	-0.577	-0.525	-0.527	-0.532
-0.560	-0.578	-0.604	-0.573	-0.574	-0.579
-0.544	-0.623	-0.625	-0.619	-0.619	-0.624
-0.528	-0.665	-0.640	-0.662	-0.662	-0.666
-0.512	-0.703	-0.650	-0.701	-0.701	-0.704
-0.496	-0.738	-0.656	-0.737	-0.736	-0.739
-0.480	-0.768	-0.656	-0.769	-0.767	-0.769
-0.464	-0.794	-0.652	-0.796	-0.793	-0.794
-0.448	-0.814	-0.643	-0.818	-0.814	-0.815
-0.432	-0.830	-0.630	-0.835	-0.830	-0.830
-0.416	-0.839	-0.614	-0.846	-0.841	-0.839
-0.400	-0.844	-0.595	-0.851	-0.845	-0.843
-0.384	-0.842	-0.573	-0.850	-0.844	-0.841
-0.368	-0.834	-0.549	-0.843	-0.836	-0.833
-0.352	-0.820	-0.523	-0.829	-0.823	-0.819
-0.336	-0.800	-0.496	-0.809	-0.803	-0.798
-0.320	-0.773	-0.468	-0.782	-0.776	-0.772
-0.304	-0.741	-0.439	-0.749	-0.744	-0.739
-0.288	-0.703	-0.410	-0.710	-0.706	-0.701
-0.272	-0.659	-0.381	-0.665	-0.662	-0.657
-0.256	-0.610	-0.352	-0.614	-0.612	-0.608
-0.240	-0.556	-0.324	-0.558	-0.557	-0.554
-0.224	-0.496	-0.297	-0.497	-0.498	-0.495
-0.208	-0.433	-0.271	-0.432	-0.434	-0.432
-0.192	-0.366	-0.246	-0.363	-0.366	-0.365
-0.176	-0.295	-0.223	-0.290	-0.295	-0.294
-0.160	-0.221	-0.200	-0.215	-0.221	-0.221
-0.144	-0.146	-0.180	-0.138	-0.145	-0.146
-0.128	-0.068	-0.160	-0.059	-0.067	-0.069
-0.112	0.011	-0.142	0.020	0.012	0.010
-0.096	0.090	-0.126	0.100	0.092	0.088
-0.080	0.169	-0.111	0.179	0.171	0.167
-0.064	0.247	-0.097	0.257	0.250	0.245
-0.048	0.324	-0.085	0.334	0.326	0.322
-0.032	0.399	-0.074	0.408	0.401	0.396
-0.016	0.471	-0.064	0.479	0.474	0.468
0.000	0.540	-0.055	0.547	0.543	0.537
0.016	0.606	-0.048	0.611	0.608	0.603
0.032	0.667	-0.041	0.671	0.669	0.664
0.048	0.723	-0.035	0.725	0.725	0.721
0.064	0.774	-0.029	0.775	0.776	0.772
0.080	0.820	-0.025	0.819	0.821	0.818
0.096	0.860	-0.021	0.857	0.860	0.859
0.112	0.893	-0.018	0.890	0.893	0.893
0.128	0.921	-0.015	0.916	0.920	0.921
0.144	0.941	-0.012	0.936	0.941	0.942
0.160	0.955	-0.010	0.950	0.954	0.956
0.176	0.963	-0.008	0.957	0.961	0.964
0.192	0.963	-0.007	0.958	0.961	0.965
0.208	0.957	-0.006	0.952	0.955	0.960
0.224	0.944	-0.005	0.941	0.942	0.947
